"Country or Area Code";"Year";"Sex Code";"Code of City";"Value";"Value Footnotes"
"248";"2015";"0";"014900";"11471";"1"
"248";"2015";"1";"014900";"5521";"1"
"248";"2015";"2";"014900";"5950";"1"
"248";"2014";"0";"014900";"11437";"1"
"248";"2014";"1";"014900";"5490";"1"
"248";"2014";"2";"014900";"5947";"1"
"248";"2013";"0";"014900";"11370";"1"
"248";"2013";"1";"014900";"5445";"1"
"248";"2013";"2";"014900";"5925";"1"
"248";"2012";"0";"014900";"11304.5";"1"
"248";"2012";"1";"014900";"5408";"1"
"248";"2012";"2";"014900";"5896.5";"1"
"248";"2011";"0";"014900";"11226.5";"1"
"248";"2011";"1";"014900";"5363.5";"1"
"248";"2011";"2";"014900";"5863";"1"
"248";"2010";"0";"014900";"11156.5";"1"
"248";"2010";"1";"014900";"5327";"1"
"248";"2010";"2";"014900";"5829.5";"1"
"248";"2009";"0";"014900";"11064";"1"
"248";"2009";"1";"014900";"5264";"1"
"248";"2009";"2";"014900";"5800";"1"
"248";"2008";"0";"014900";"10954";"1"
"248";"2008";"1";"014900";"5189";"1"
"248";"2008";"2";"014900";"5765";"1"
"248";"2007";"0";"014900";"10863";"1"
"248";"2007";"1";"014900";"5151";"1"
"248";"2007";"2";"014900";"5712";"1"
"248";"2000";"0";"014900";"10488";"2"
"248";"2000";"1";"014900";"4943";"2"
"248";"2000";"2";"014900";"5545";"2"
"8";"2011";"0";"000048";"113249";""
"8";"2011";"0";"000050";"418495";""
"8";"2011";"1";"000048";"56511";""
"8";"2011";"1";"000050";"203239";""
"8";"2011";"2";"000048";"56738";""
"8";"2011";"2";"000050";"215256";""
"8";"2003";"0";"000050";"392863";""
"8";"2003";"1";"000050";"194006";""
"8";"2003";"2";"000050";"198857";""
"12";"1998";"0";"000080";"352523";""
"12";"1998";"0";"000110";"246800";""
"12";"1998";"0";"000120";"134523";""
"12";"1998";"0";"000130";"144405";""
"12";"1998";"0";"000140";"177060";""
"12";"1998";"0";"000150";"129004";""
"12";"1998";"0";"000160";"103690";""
"12";"1998";"0";"000180";"174314";""
"12";"1998";"0";"000190";"229788";""
"12";"1998";"0";"000200";"1569897";""
"12";"1998";"0";"000210";"158679";""
"12";"1998";"0";"000220";"104758";""
"12";"1998";"0";"000230";"105151";""
"12";"1998";"0";"000240";"127959";""
"12";"1998";"0";"000250";"104644";""
"12";"1998";"0";"000260";"108682";""
"12";"1998";"0";"000270";"106306";""
"12";"1998";"0";"000300";"128427";""
"12";"1998";"0";"000330";"125911";""
"12";"1998";"0";"000350";"102151";""
"12";"1998";"0";"000360";"465021";""
"12";"1998";"0";"000370";"113533";""
"12";"1998";"0";"000380";"183931";""
"12";"1998";"0";"000390";"153531";""
"12";"1998";"0";"000400";"114512";""
"12";"1998";"0";"000410";"214842";""
"12";"1998";"0";"000420";"154335";""
"12";"1998";"0";"000430";"148850";""
"12";"1998";"0";"000440";"156258";""
"12";"1998";"0";"000460";"114183";""
"12";"1998";"0";"000470";"705335";""
"12";"1998";"0";"000480";"139381";""
